latitude,longitude,magnitude,deaths,affected,damages,type,risk
18.231,120.86,7.0,19.0,1901.0,2227.0,Earthquake,1
35.953,52.264,5.0,30.0,7066.0,5000.0,Earthquake,1
35.5,139.07,5.0,1.0,28.0,,Earthquake,0
40.462,139.102,8.0,102.0,77.0,416000.0,Earthquake,1
5.723,94.722,7.0,,100.0,1000.0,Earthquake,0
36.948,49.18,6.0,3.0,416.0,5000.0,Earthquake,0
36.372,70.738,7.0,24.0,543.0,3000.0,Earthquake,0
-4.843,-78.103,5.0,10.0,,500.0,Earthquake,0
5.392,151.868,6.0,10.0,,,Earthquake,0
-4.13,136.049,6.0,10.0,7.0,,Earthquake,0
28.399,52.997,5.0,1.0,7080.0,,Earthquake,1
18.19,-102.533,8.0,9500.0,2130204.0,4104000.0,Earthquake,1
36.19,70.896,7.0,5.0,12038.0,2000.0,Earthquake,1
-9.159,-78.887,6.0,,400.0,,Earthquake,0
7.758,123.544,7.0,2.0,175.0,,Earthquake,0
-5.599,151.045,7.0,,,1000.0,Earthquake,0
-8.247,124.155,7.0,125.0,17100.0,5000.0,Earthquake,1
-6.088,147.689,7.0,1.0,4000.0,2625.0,Earthquake,1
2.244,98.866,6.0,2.0,15001.0,,Earthquake,1
34.076,48.266,5.0,2.0,50.0,,Earthquake,0
35.38,140.214,6.0,2.0,22652.0,,Earthquake,1
33.015,-115.852,7.0,2.0,3050.0,,Earthquake,1
-37.965,176.765,7.0,1.0,7025.0,210000.0,Earthquake,1
26.755,616.0,7.0,382.0,20003766.0,71500.0,Earthquake,1
29.974,51.679,6.0,1.0,10000.0,,Earthquake,1
30.89,50.194,6.0,,3030.0,,Earthquake,1
26.755,86.616,7.0,709.0,301016.0,60000.0,Earthquake,1
36.69,39.79,5.0,,2645.0,,Earthquake,1
42.096,19.209,7.0,121.0,310100.0,450000.0,Earthquake,1
42.255,18.752,6.0,,80.0,,Earthquake,0
43.294,20.837,6.0,,5100.0,,Earthquake,1
8.045,-72.441,5.0,,186.0,,Earthquake,0
44.849,17.312,6.0,,44.0,5000.0,Earthquake,0
13.332,-89.387,7.0,20.0,32500.0,5000.0,Earthquake,1
14.701,44.379,6.0,1507.0,401500.0,2000000.0,Earthquake,1
19.43,-155.454,6.0,,6.0,6250.0,Earthquake,0
39.042,48.714,5.0,,14000.0,5000.0,Earthquake,1
40.33,42.187,7.0,1346.0,834137.0,25000.0,Earthquake,1
36.219,-120.317,5.0,,1545.0,31000.0,Earthquake,1
41.959,21.54,5.0,12.0,,,Earthquake,0
36.19,70.896,7.0,,,,Earthquake,0
40.301,69.823,6.0,29.0,8080.0,,Earthquake,1
40.31,42.307,4.0,,579.0,,Earthquake,0
41.581,22.254,5.0,,1516.0,,Earthquake,1
26.0,46.5,6.0,1.0,225558.0,730000.0,Earthquake,1
41.431,43.737,6.0,2.0,4500.0,,Earthquake,1
34.061,-118.079,6.0,8.0,2200.0,213000.0,Earthquake,1
33.013,115.838,7.0,,94.0,4000.0,Earthquake,0
